tweet_id,Username,text,Artist,created_at,sentiment,polarity
1650216262373462016,ShyRealKing,Guess my neighbors beefing again She banging Miley Cyrus Flowers on repeat That shit do snap tho,Miley Cyrus,2023-04-23 19:13:11+00:00,negative,-0.2
1650215770780049412,Symce,"Love Miley Cyrus, girly can sing foh real.",Miley Cyrus,2023-04-23 19:11:13+00:00,positive,0.35
1650215042103619589,twinklemileyc,Miley Cyrus is THE singer,Miley Cyrus,2023-04-23 19:08:20+00:00,neutral,0.0
1650214453462302720,AndyLiesveld,Extremely based takes to both of you.This is a book for people who dislike the governme,Miley Cyrus,2023-04-23 19:05:59+00:00,negative,-0.125
1650214399703916544,taysplay,im loving the appreciation for the queen but why yall pretending miley cyrus being a good singer is breaking news? we been knew!,Miley Cyrus,2023-04-23 19:05:47+00:00,positive,0.7375
1650214316962897927,DEM_Mustangs16,Miley Cyrus is included in Maxims Hot list of,Miley Cyrus,2023-04-23 19:05:27+00:00,positive,0.25
1650213702526746625,ThePrincess427,Not as long as Beyonc Beyonc/ Britney Stan : Lady Gaga Stan :2010Miley Cyrus : Taylor Swift :2006/2,Miley Cyrus,2023-04-23 19:03:00+00:00,negative,-0.05
1650213622323490816,croissantmusain,no trace....and she posted malibu miley cyrus yestwrday...,Miley Cyrus,2023-04-23 19:02:41+00:00,neutral,0.0
1650213316713758720,spiderdan616,im feeling a very things by miley cyrus type of way,Miley Cyrus,2023-04-23 19:01:28+00:00,positive,0.2
1650213195439587329,ThePrincess427,"Eek thar a lot but : going out, concerts, getting dick, going back to school, movies , the beach, traveling Disney",Miley Cyrus,2023-04-23 19:00:59+00:00,neutral,0.0
1650213126996910081,BrooklynSummer_,"Ill never understand how Madonna managed to get Beyonc, Katy Perry, Kanye West, Miley Cyrus and Nicki Minaj in on",Miley Cyrus,2023-04-23 19:00:43+00:00,negative,-0.5
1650213074505195520,AlphaPopRadio1,Miley Cyrus - Flowers,Miley Cyrus,2023-04-23 19:00:31+00:00,neutral,0.0
1650213017416761344,King0fRoaches,Miley Cyrus or should I say Michael Cyrus.,Miley Cyrus,2023-04-23 19:00:17+00:00,neutral,0.0
