tweet_id,Username,text,Artist,created_at
1650158952175525889,the_weeknd_00,Steven Leigh Frances Murray,The Weeknd,2023-04-23 15:25:27+00:00
1650158861804871681,ccol4him,The Weeknd and Future Share Video for New Idol Song Double Fantasy,The Weeknd,2023-04-23 15:25:05+00:00
1650158843102388224,ilytddk,i was never there do the weeknd,The Weeknd,2023-04-23 15:25:01+00:00
1650158826354806784,2nditoshi,"cas, ca, the weeknd, hindia, the",The Weeknd,2023-04-23 15:24:57+00:00
1650158812928540672,dagr8fm,The Weeknd - Alone Again,The Weeknd,2023-04-23 15:24:54+00:00
1650158773196165120,ikanbulalawa,"Starboy the weeknd, crash landing nct",The Weeknd,2023-04-23 15:24:44+00:00
1650158682758426625,DreamRadio619,The Weeknd - Die For You,The Weeknd,2023-04-23 15:24:23+00:00
1650158541951451137,DuckMike23,"Tough to separate Legends and Weeknd for me. But if Im forced to pick one, the triple scare from Legends puts it slightly ahead of Weeknd",The Weeknd,2023-04-23 15:23:49+00:00
1650158505217728523,priscilasoarss,lana e the weeknd,The Weeknd,2023-04-23 15:23:40+00:00
1650158103139332096,sirenevenin,"alexa, play by the weeknd.",The Weeknd,2023-04-23 15:22:04+00:00
1650157834263482370,directiur,"get well soon, bunda",The Weeknd,2023-04-23 15:21:00+00:00
1650157774410768385,ddesxjjk,"get well soon, bunda",The Weeknd,2023-04-23 15:20:46+00:00
1650157667673882629,tamydojett,to viciada em the weeknd,The Weeknd,2023-04-23 15:20:21+00:00
1650157574124077057,thathoneygirl,call out my name was the weeknd's karma for the birds pt.,The Weeknd,2023-04-23 15:19:58+00:00
1650157547285000193,borahuek,"get well soon, bunda",The Weeknd,2023-04-23 15:19:52+00:00
1650157531594133508,gemgsi,get well soon bunda,The Weeknd,2023-04-23 15:19:48+00:00
1650157162717655040,cimocrii,"get well soon, bunda",The Weeknd,2023-04-23 15:18:20+00:00
1650157160188489729,miauwrie,"get well soon, bunda",The Weeknd,2023-04-23 15:18:20+00:00
1650157153335013383,gwynethaven,"get well soon, bunda",The Weeknd,2023-04-23 15:18:18+00:00
1650157134754004992,bondzii,is hard to skip The Weeknd records esp. the ones which you could tell mans was horny whiles writing them in the studio,The Weeknd,2023-04-23 15:18:14+00:00
1650156801042825216,devixstard,Heard the surprise guest for Coachella was the weeknd. That's tooo goood mannnn. Damnnn wishing I could witness his performance.,The Weeknd,2023-04-23 15:16:54+00:00
1650156794327728129,ddejavues,"get well soon, bundaa",The Weeknd,2023-04-23 15:16:52+00:00
1650156714858106883,dagr8fm,The Weeknd - Too Late,The Weeknd,2023-04-23 15:16:33+00:00
1650156692230000640,B1augrana_,The Weeknd is literally the most streamed artist on Spotify That is the antithesis of being underrated,The Weeknd,2023-04-23 15:16:28+00:00
1650156635585761286,LumberjackRy,"The Weeknd did a few covers of his work, especially Dirty Diana. He, in my opinion obviously, wiped the floor with Mike. Maybe it's just the old recording equipment that doesn't make it sound good, not sure, but it just doesn't sound right.",The Weeknd,2023-04-23 15:16:15+00:00
1650156567864528896,alice_darphyne,The Weeknd - Earned It &gt;&gt;&gt;&gt;&gt;&gt;,The Weeknd,2023-04-23 15:15:58+00:00
1650156414835253251,lluanamaya,chase atlantic the weekndtaylor swiftslana del rey melanie martinez,The Weeknd,2023-04-23 15:15:22+00:00
1650156392953823232,carzving,"getwellsoon, bunda",The Weeknd,2023-04-23 15:15:17+00:00
1650156344207605761,krnszliv,"get well soon, bunda",The Weeknd,2023-04-23 15:15:05+00:00
1650156331519856640,astrophilegy,"get well soon, bunda",The Weeknd,2023-04-23 15:15:02+00:00
1650156319591235584,cakeshehe,"get well soon, bunda",The Weeknd,2023-04-23 15:14:59+00:00
1650155961267417092,shedly_allagui,The weeknd,The Weeknd,2023-04-23 15:13:34+00:00
1650155823539138563,ODynastyEnt,The Weeknd Questioned His Look As A Young Artist,The Weeknd,2023-04-23 15:13:01+00:00
1650155772129714177,shakesboom,get well soon bundaaa,The Weeknd,2023-04-23 15:12:49+00:00
1650155718539108357,jugyuzx,at the moment its jelly pop and double fantasy by the weeknd,The Weeknd,2023-04-23 15:12:36+00:00
1650155702768246784,sujistuff,The weeknd with tiny ponytail,The Weeknd,2023-04-23 15:12:32+00:00
1650155661173592066,blueocyean,"get well soon, bunda",The Weeknd,2023-04-23 15:12:22+00:00
1650155638327222277,meprmaid,"get well soon, bunda",The Weeknd,2023-04-23 15:12:17+00:00
1650155550867619842,sunfl0wersw,"get well soon, bunda",The Weeknd,2023-04-23 15:11:56+00:00
1650155471498780673,wisspyy,"get well soon, bunda",The Weeknd,2023-04-23 15:11:37+00:00
1650155398715039744,theseconism,get well soon bunda nathan,The Weeknd,2023-04-23 15:11:20+00:00
1650155318578388993,RhaenyraXO,The Weeknd,The Weeknd,2023-04-23 15:11:01+00:00
1650155297552613376,owlsnoe,"get well soon, bunda",The Weeknd,2023-04-23 15:10:55+00:00
1650155283111628801,dParkjlsung,"get well soon, bunda",The Weeknd,2023-04-23 15:10:52+00:00
1650155206326509568,hooeked,"get well soon, bunda",The Weeknd,2023-04-23 15:10:34+00:00
1650155133517578242,cabpella,"get well soon, bunda",The Weeknd,2023-04-23 15:10:16+00:00
1650155116249624577,Louaista,I can't get the AI Drake ft. Weeknd song out of my head,The Weeknd,2023-04-23 15:10:12+00:00
1650155062298136578,WA_FA_E_,Pov : Weeknd overated,The Weeknd,2023-04-23 15:09:59+00:00
1650155051774791681,weeknd____1999,"can you reply ""get well soon, bunda"" thanks",The Weeknd,2023-04-23 15:09:57+00:00
1650155006668992519,L0RDGRiFTH,Normally if you told me The Weeknd and Future on a track together Id go running but as soon as it started and had that s vibe. I turned that shit off.Wrap it up bruh. If I wanna hear some s music Ill listen to Prince.We need that pineapple head Weeknd back.,The Weeknd,2023-04-23 15:09:46+00:00
